Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Day,Subject,Predict day,Predict subject
101,102,103,104,106,105,1,101,,
101,102,103,104,106,105,2,,,
101,102,103,104,106,105,3,108,,
101,102,103,104,105,106,4,102,,
101,102,103,104,105,106,5,,,
101,102,103,104,106,105,6,107,,
101,102,103,104,105,106,7,103,,
101,102,103,104,106,105,8,,,
101,102,103,104,105,106,9,,,
101,102,103,104,105,106,10,104,,
101,102,103,104,105,106,11,,,
101,102,103,104,105,106,12,,,
101,102,103,104,106,105,13,105,,
101,102,103,104,105,106,14,,,
101,102,103,104,105,106,15,106,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,106,105,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
101,102,103,104,105,106,,,,
